transaction_id,transaction_date,customer_id,payment_method,before_tax,tax,after_tax,shipping_cost,transaction_discount,total_paid
TX0000001,"2024-05-16 17:53:01",CUST03079,PM001,409872,37802.8,447675,16222,0,463897
TX0000002,"2020-05-23 15:44:12",CUST01021,PM002,228213,22821.3,251034,24690,0,275724
TX0000003,"2020-12-03 23:02:48",CUST02197,PM001,25627265,2560260,28187500,9043,0,28196600
TX0000004,"2024-08-12 08:32:49",CUST01112,PM003,1046312,104631,1150940,11312,0,1162260
TX0000005,"2020-11-15 06:13:56",CUST04805,PM006,139618,13961.8,153580,15436,0,169016
TX0000006,"2023-12-02 22:10:22",CUST03561,PM001,529185,52918.5,582104,21578,0,603682
TX0000007,"2024-12-08 08:56:50",CUST02993,PM003,410588,41058.8,451647,13507,0,465154
TX0000008,"2021-01-15 07:59:18",CUST01745,PM001,5134792,513479,5648270,16479,0,5664750
TX0000009,"2020-09-07 22:46:41",CUST03569,PM009,1288884,128888,1417770,6114,0,1423890
TX0000010,"2022-02-09 05:23:05",CUST02420,PM003,178088,17808.8,195897,11315,0,207212
TX0000011,"2021-12-19 07:48:16",CUST04589,PM001,351076,29007.2,380083,14954,0,395037
TX0000012,"2020-11-08 17:34:22",CUST03685,PM002,67402,6335.4,73737.4,28038,0,101775
TX0000013,"2022-12-11 09:13:26",CUST00292,PM005,641596,60208.5,701804,27406,10445,739656
TX0000014,"2022-01-15 17:26:36",CUST02220,PM002,69796,6406.6,76202.6,18289,0,94491.6
TX0000015,"2021-09-30 06:40:19",CUST02020,PM005,1472402,134770,1607170,18199,0,1625370
TX0000016,"2023-01-27 01:44:31",CUST02001,PM001,872024,87202.4,959226,18171,0,977397
TX0000017,"2024-03-16 18:35:52",CUST04382,PM007,1490643,149064,1639710,11484,0,1651190
TX0000018,"2020-07-21 23:27:49",CUST02214,PM002,39097818,3909780,43007600,6762,0,43014400
TX0000019,"2022-03-30 13:44:15",CUST01099,PM004,19877811,1987780,21865600,14124,0,21879700
TX0000020,"2020-02-03 18:00:32",CUST03545,PM010,223977332,22397700,246375000,19636,0,246395000
TX0000021,"2024-07-10 09:43:20",CUST01142,PM001,21999683,2199970,24199700,8150,0,24207800
TX0000022,"2024-08-07 07:54:29",CUST02702,PM006,705552,70555.2,776107,18556,0,794663
TX0000023,"2024-09-19 21:48:10",CUST03721,PM010,0,0,0,0,0,0
TX0000024,"2023-01-15 10:07:52",CUST01986,PM004,24084,2408.4,26492.4,17354,0,43846.4
TX0000025,"2022-07-23 02:20:25",CUST02232,PM001,0,0,0,0,0,0
TX0000026,"2020-07-28 04:32:07",CUST02243,PM002,43351944,4335190,47687100,21129,0,47708300
TX0000027,"2022-05-19 16:40:43",CUST02241,PM002,363855,36385.5,400240,20010,0,420250
TX0000028,"2024-09-01 03:46:59",CUST03917,PM003,2903940,290394,3194330,6974,0,3201310
TX0000029,"2023-10-14 10:26:25",CUST02685,PM003,7283274,726699,8009970,28540,0,8038510
TX0000030,"2022-10-25 11:16:05",CUST00068,PM002,322072,32207.2,354279,24932,0,379211
TX0000031,"2022-06-07 06:38:15",CUST00537,PM001,1391216,139122,1530340,9951,0,1540290
TX0000032,"2020-05-25 10:39:00",CUST00077,PM006,879463,87946.3,967409,29039,0,996448
TX0000033,"2021-03-05 13:11:05",CUST00676,PM005,3557626,336613,3894240,12447,0,3906690
TX0000034,"2021-07-15 10:05:50",CUST02854,PM001,404837,40483.7,445321,9405,0,454726
TX0000035,"2020-12-21 19:59:35",CUST01727,PM001,40817,3652.8,44469.8,23032,0,67501.8
